Using device: cuda
Test set ID (derived from DATASET_ROOT): NoordelikeWerke
Classes found (4): ['Dysfunctional', 'Empty', 'Functional', 'Scum']
Train: 1692 | Val: 410 | Test: 405
[09:36:18] Dataset root: ../cnn_dataset_split_facility_test-NoordelikeWerke  Component: clarifier
[09:36:18] Architectures to tune (6): ['resnet18', 'efficientnet_b0', 'densenet121', 'resnet50', 'convnext_tiny', 'inception_v3']
[09:36:18] Trials per architecture: 20
[09:36:18] === Starting tuning for resnet18: 20 trials, img_size=(224, 224) ===
[I 2026-09-22 09:36:18,730] A new study created in memory with name: resnet18_tune
[09:36:18] [resnet18] trial 0: H=1 N=512 lr=2.92e-03 beta1=0.800 step_size=30 batch_size=16 (micro_batch=16, accum_steps=1)
Using device: cuda
Test set ID (derived from DATASET_ROOT): NoordelikeWerke
Classes found (4): ['Dysfunctional', 'Empty', 'Functional', 'Scum']
Train: 1692 | Val: 410 | Test: 405
[resnet18 trial2] Epoch   4/100 | LR: 4.34e-03 | train loss 1.2516 acc 0.423 | val loss 1.3018 acc 0.356 *
[resnet18 trial2] Epoch   5/100 | LR: 4.34e-03 | train loss 1.2153 acc 0.411 | val loss 1.2628 acc 0.378 *
[resnet18 trial2] Epoch   6/100 | LR: 4.34e-03 | train loss 1.2080 acc 0.436 | val loss 1.1359 acc 0.527 *
[resnet18 trial2] Epoch   7/100 | LR: 4.34e-03 | train loss 1.1625 acc 0.469 | val loss 1.4421 acc 0.241
[resnet18 trial2] Epoch   8/100 | LR: 4.34e-03 | train loss 1.2371 acc 0.417 | val loss 1.0421 acc 0.576 *
[resnet18 trial2] Epoch   9/100 | LR: 4.34e-03 | train loss 1.1944 acc 0.460 | val loss 1.6098 acc 0.146
[resnet18 trial2] Epoch  10/100 | LR: 4.34e-03 | train loss 1.1948 acc 0.438 | val loss 1.1815 acc 0.454
[resnet18 trial2] Epoch  11/100 | LR: 4.34e-03 | train loss 1.1973 acc 0.437 | val loss 1.1311 acc 0.349
[resnet18 trial2] Epoch  12/100 | LR: 4.34e-03 | train loss 1.1792 acc 0.427 | val loss 1.1110 acc 0.424
[resnet18 trial2] Epoch  13/100 | LR: 4.34e-03 | train loss 1.1381 acc 0.411 | val loss 1.0995 acc 0.429
[resnet18 trial2] Epoch  14/100 | LR: 4.34e-03 | train loss 1.1593 acc 0.394 | val loss 1.2579 acc 0.415
[resnet18 trial2] Epoch  15/100 | LR: 4.34e-03 | train loss 1.2736 acc 0.397 | val loss 1.0560 acc 0.476
[resnet18 trial2] Epoch  16/100 | LR: 4.34e-03 | train loss 1.1936 acc 0.403 | val loss 1.0580 acc 0.400
[resnet18 trial2] Epoch  17/100 | LR: 4.34e-03 | train loss 1.1988 acc 0.417 | val loss 1.0083 acc 0.568 *
[resnet18 trial2] Epoch  18/100 | LR: 4.34e-03 | train loss 1.1346 acc 0.438 | val loss 1.0572 acc 0.454
[resnet18 trial2] Epoch  19/100 | LR: 4.34e-03 | train loss 1.1310 acc 0.428 | val loss 0.9996 acc 0.505 *
[resnet18 trial2] Epoch  20/100 | LR: 4.34e-03 | train loss 1.1274 acc 0.444 | val loss 1.0603 acc 0.485
[resnet18 trial2] Epoch  21/100 | LR: 4.34e-03 | train loss 1.1266 acc 0.433 | val loss 1.0134 acc 0.454
[resnet18 trial2] Epoch  22/100 | LR: 4.34e-03 | train loss 1.0825 acc 0.436 | val loss 1.0728 acc 0.451
[resnet18 trial2] Epoch  23/100 | LR: 4.34e-03 | train loss 1.1034 acc 0.465 | val loss 1.2398 acc 0.359
[resnet18 trial2] Epoch  24/100 | LR: 4.34e-03 | train loss 1.1033 acc 0.462 | val loss 1.3758 acc 0.305
[resnet18 trial2] Epoch  25/100 | LR: 4.34e-03 | train loss 1.0690 acc 0.462 | val loss 1.0259 acc 0.502
[resnet18 trial2] Epoch  26/100 | LR: 4.34e-03 | train loss 1.0743 acc 0.504 | val loss 0.9817 acc 0.529 *
[resnet18 trial2] Epoch  27/100 | LR: 4.34e-03 | train loss 1.1207 acc 0.473 | val loss 1.2712 acc 0.334
[resnet18 trial2] Epoch  28/100 | LR: 4.34e-04 | train loss 1.1239 acc 0.433 | val loss 1.0781 acc 0.473
[resnet18 trial2] Epoch  29/100 | LR: 4.34e-04 | train loss 1.0433 acc 0.455 | val loss 0.9322 acc 0.534 *
[resnet18 trial2] Epoch  30/100 | LR: 4.34e-04 | train loss 1.0011 acc 0.493 | val loss 0.8907 acc 0.551 *
[resnet18 trial2] Epoch  31/100 | LR: 4.34e-04 | train loss 0.9859 acc 0.505 | val loss 0.8588 acc 0.566 *
[resnet18 trial2] Epoch  32/100 | LR: 4.34e-04 | train loss 0.9982 acc 0.503 | val loss 0.9201 acc 0.512
